"acres","trscode","point.lat","point.lon","polygon.lat","polygon.lon"
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0213759951592,-118.742667891191
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.021427962959,-118.763229034975
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0310041197078,-118.763293407992
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0312624499639,-118.763291061059
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.036173407039,-118.763480492071
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0361330062656,-118.758285723754
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0360922702162,-118.753091123075
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.036010127565,-118.742700748251
376.2643872,"T06R32E1",46.0287576982781,-118.753006762985,46.0213759951592,-118.742667891191
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0274200179066,-118.617031544377
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0199150294344,-118.617102622916
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.020445939182,-118.637750100304
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0278241932781,-118.637850515504
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0351260044172,-118.63785688575
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0349023752402,-118.616960130562
144.1853669,"T06R33E1",46.0276116979092,-118.627392710768,46.0274200179066,-118.617031544377
357.9432972,"T06R33E10",46.013739808135,-118.669159967251,46.0206544809332,-118.658736374218
357.9432972,"T06R33E10",46.013739808135,-118.669159967251,46.0065789185556,-118.658749449987
357.9432972,"T06R33E10",46.013739808135,-118.669159967251,46.0066337362025,-118.679475717264
357.9432972,"T06R33E10",46.013739808135,-118.669159967251,46.0210819579956,-118.679497845488
357.9432972,"T06R33E10",46.013739808135,-118.669159967251,46.0206544809332,-118.658736374218
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.0056746788403,-118.637782119174
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.0065878033731,-118.658668313164
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.0065789185556,-118.658749449987
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.0206544809332,-118.658736374218
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.020445939182,-118.637750100304
464.5177749,"T06R33E11",46.0133403188083,-118.648168606206,46.0056746788403,-118.637782119174
365.016778,"T06R33E12",46.012827142217,-118.627384953115,46.0199150294344,-118.617102622916
365.016778,"T06R33E12",46.012827142217,-118.627384953115,46.0053486228064,-118.616805568267
365.016778,"T06R33E12",46.012827142217,-118.627384953115,46.0056746788403,-118.637782119174
365.016778,"T06R33E12",46.012827142217,-118.627384953115,46.020445939182,-118.637750100304
365.016778,"T06R33E12",46.012827142217,-118.627384953115,46.0199150294344,-118.617102622916
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0010569207386,-118.616566851665
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0010150112226,-118.621754243907
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0010299310103,-118.637575421441
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0056746788403,-118.637782119174
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0053486228064,-118.616805568267
104.471349,"T06R33E13",46.0032688194175,-118.627312855478,46.0010569207386,-118.616566851665
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0056746788403,-118.637782119174
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0010299310103,-118.637575421441
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.001034457238,-118.642420832033
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0010497123018,-118.658567562687
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0065789185556,-118.658749449987
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0065878033731,-118.658668313164
135.7303249,"T06R33E14",46.0035920922787,-118.648476966589,46.0056746788403,-118.637782119174
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0010497123018,-118.658567562687
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0010540708915,-118.662951298052
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0010696612314,-118.679507400858
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0066337362025,-118.679475717264
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0065789185556,-118.658749449987
43.70311323,"T06R33E15",46.0038283235778,-118.66908603677,46.0010497123018,-118.658567562687
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0010696612314,-118.679507400858
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0010735169068,-118.683549825125
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0010892748848,-118.700263172435
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0065468996855,-118.700342297601
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0066337362025,-118.679475717264
57.73691288,"T06R33E16",46.0038374112243,-118.689863721038,46.0010696612314,-118.679507400858
292.9276714,"T06R33E2",46.0278698251036,-118.648272351893,46.0278241932781,-118.637850515504
292.9276714,"T06R33E2",46.0278698251036,-118.648272351893,46.020445939182,-118.637750100304
292.9276714,"T06R33E2",46.0278698251036,-118.648272351893,46.0206544809332,-118.658736374218
